"","legend","hour","Trips"
"300","Training",2021-10-03 11:00:00,7348
"301","Training",2021-10-03 12:00:00,8575
"302","Training",2021-10-03 13:00:00,8894
"303","Training",2021-10-03 14:00:00,8899
"304","Training",2021-10-03 15:00:00,8925
"305","Training",2021-10-03 16:00:00,9022
"306","Training",2021-10-03 17:00:00,8451
"307","Training",2021-10-03 18:00:00,7605
"308","Training",2021-10-03 19:00:00,5511
"309","Training",2021-10-03 20:00:00,4002
"310","Training",2021-10-03 21:00:00,3011
"311","Training",2021-10-03 22:00:00,2401
"312","Training",2021-10-03 23:00:00,1685
"313","Training",2021-10-04 00:00:00,904
"314","Training",2021-10-04 01:00:00,491
"315","Training",2021-10-04 02:00:00,334
"316","Training",2021-10-04 03:00:00,136
"317","Training",2021-10-04 04:00:00,184
"318","Training",2021-10-04 05:00:00,516
"319","Training",2021-10-04 06:00:00,1640
"320","Training",2021-10-04 07:00:00,4465
"321","Training",2021-10-04 08:00:00,6680
"322","Training",2021-10-04 09:00:00,4672
"323","Training",2021-10-04 10:00:00,3257
"324","Training",2021-10-04 11:00:00,3465
"325","Training",2021-10-04 12:00:00,4470
"326","Training",2021-10-04 13:00:00,4305
"327","Training",2021-10-04 14:00:00,5117
"328","Training",2021-10-04 15:00:00,5646
"329","Training",2021-10-04 16:00:00,6247
"330","Training",2021-10-04 17:00:00,3716
"331","Training",2021-10-04 18:00:00,3812
"332","Training",2021-10-04 19:00:00,3627
"333","Training",2021-10-04 20:00:00,3255
"334","Training",2021-10-04 21:00:00,2640
"335","Training",2021-10-04 22:00:00,2129
"336","Training",2021-10-04 23:00:00,1426
"337","Training",2021-10-05 00:00:00,925
"338","Training",2021-10-05 01:00:00,384
"339","Training",2021-10-05 02:00:00,247
"340","Training",2021-10-05 03:00:00,188
"341","Training",2021-10-05 04:00:00,229
"342","Training",2021-10-05 05:00:00,830
"343","Training",2021-10-05 06:00:00,2970
"344","Training",2021-10-05 07:00:00,5539
"345","Training",2021-10-05 08:00:00,7601
"346","Training",2021-10-05 09:00:00,5382
"347","Training",2021-10-05 10:00:00,3818
"348","Training",2021-10-05 11:00:00,3795
"349","Training",2021-10-05 12:00:00,4601
"350","Training",2021-10-05 13:00:00,4955
"351","Training",2021-10-05 14:00:00,5501
"352","Training",2021-10-05 15:00:00,6386
"353","Training",2021-10-05 16:00:00,7556
"354","Training",2021-10-05 17:00:00,10873
"355","Training",2021-10-05 18:00:00,10604
"356","Training",2021-10-05 19:00:00,7313
"357","Training",2021-10-05 20:00:00,4822
"358","Training",2021-10-05 21:00:00,3728
"359","Training",2021-10-05 22:00:00,2945
"360","Training",2021-10-05 23:00:00,2303
